"UserID","Version","SessionDuration","SearchClicked","RemoveClicked","ApplyFiltersClicked","ResetDataClicked","TabSwitch_RawTable","TabSwitch_RawTrend","TabSwitch_FilteredTable","TabSwitch_FilteredTrend","Scrolled_RawTable","Scrolled_RawTrend","Scrolled_FilteredTable","Scrolled_FilteredTrend","Interactions","SearchLoadingTime","ErrorOccurred"
"V1_User_1","V1",69.1083374100213,0,0,0,0,1,1,0,0,1,0,1,1,5,11.5075907051786,1
"V1_User_2","V1",50.4943673473458,1,0,1,0,1,1,0,0,1,0,1,1,5,13.1038566512426,1
"V1_User_3","V1",82.5767902840676,1,0,1,0,1,1,1,0,0,1,1,0,5,10.8275371025203,0
"V1_User_4","V1",52.5245346880394,1,0,0,0,1,1,0,1,1,1,0,1,5,12.6247344225431,0
"V1_User_5","V1",102.779584464049,1,0,1,1,1,0,1,0,1,1,0,1,4,9.94938838062427,0
"V1_User_6","V1",65.7054433992754,0,1,0,1,1,1,0,0,0,0,1,1,5,9.92367512825446,1
"V1_User_7","V1",81.1393935675768,1,1,1,0,1,1,1,1,1,0,1,0,5,14.4771495971769,0
"V1_User_8","V1",68.8916514409424,1,0,1,1,0,1,0,1,1,1,1,1,3,5.05582778252944,1
"V1_User_9","V1",34.8615281681803,0,1,0,0,1,1,1,1,1,1,1,1,6,7.96707267233585,1
"V1_User_10","V1",50.7445137766372,0,1,0,1,0,1,1,0,1,1,0,0,0,6.32225585885157,1
"V1_User_11","V1",52.92492982424,1,1,0,0,1,0,1,1,1,0,0,0,3,12.6089740642809,1
"V1_User_12","V1",48.2499126020556,1,0,1,0,1,1,0,1,0,1,0,1,3,12.0229217006442,0
"V1_User_13","V1",30.6244530530204,0,0,0,0,0,1,0,0,1,0,1,1,4,8.93604209389394,0
"V1_User_14","V1",82.5058663170915,1,0,1,1,1,1,1,1,1,0,1,0,6,10.6549088257547,0
"V1_User_15","V1",86.0022000243179,1,0,0,1,0,1,0,0,1,0,1,0,4,3,1
