"UserID","Version","SessionDuration","SearchClicked","RemoveClicked","ApplyFiltersClicked","ResetDataClicked","TabSwitch_SearchPage","TabSwitch_TableDisplay","TabSwitch_TrendsVisualization","Scrolled_TrendsVisualization","DropdownUsed_TrendsVisualization","Dropdown_IncorporationStatus","Dropdown_LiquidatedYN","Dropdown_ChargesYN","Dropdown_InsolventYN","Dropdown_VIPList","Interactions","SearchLoadingTime","ErrorOccurred"
"V2_User_1","V2",19.0235654767049,0,0,0,1,1,1,1,1,1,0,1,0,0,1,5,8.66626459600395,1
"V2_User_2","V2",50.3039343360259,1,0,1,1,1,1,1,0,1,0,0,1,1,1,5,9.27065298008807,0
"V2_User_3","V2",54.6870639373082,0,0,1,1,1,1,1,1,1,0,0,0,0,0,6,7.48474691404313,0
"V2_User_4","V2",45.6485584257013,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5,10.3979416745185,1
"V2_User_5","V2",47.0174030751832,1,0,0,0,1,1,0,1,1,1,1,0,1,1,14,9.99788727349984,1
"V2_User_6","V2",52.5800687559953,0,1,1,0,1,0,1,1,1,1,0,1,1,1,6,6.3748172497008,1
"V2_User_7","V2",45.3108878650324,1,0,1,1,1,1,1,1,0,0,0,0,0,0,10,10.0640930785545,0
"V2_User_8","V2",39.669661212294,1,1,0,0,1,0,0,1,0,0,0,0,0,0,8,8.24835606999997,0
"V2_User_9","V2",46.567982969037,0,1,1,0,1,1,1,1,0,0,0,0,0,0,5,10.4931934867244,0
"V2_User_10","V2",58.5549127583777,0,1,1,1,0,1,0,1,0,0,0,0,0,0,14,6.8792184955797,0
"V2_User_11","V2",45.4087854731286,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8,8.05554283844942,0
"V2_User_12","V2",48.5373598822752,1,0,1,0,1,1,0,1,0,0,0,0,0,0,6,7.45395576345655,0
"V2_User_13","V2",63.7169185214963,0,1,0,0,1,1,1,0,1,0,0,1,0,0,6,9.83676538501607,0
"V2_User_14","V2",53.765602219653,1,0,1,0,0,1,1,1,1,0,1,1,0,1,9,9.44134708458025,0
"V2_User_15","V2",55.9693425249898,0,1,0,1,1,1,0,0,1,0,1,1,1,0,12,5.14873934075425,1
